city,zip_code,state
Glendale,91206,CA
Whittier,90604,CA
LongBeach,90808,CA
PicoRivera,90660,CA
Lomita,90717,CA
RedondoBeach,90278,CA
LongBeach,90804,CA
RowlandHeights,91748,CA
Pomona,91766,CA
HaciendaHts,91745,CA
VanNuys,91405,CA
Palmdale,93550,CA
SanPedro,90731,CA
SanPedro,90732,CA
CanogaPark,91306,CA
PanoramaCity,91402,CA
PorterRanch,91326,CA
Valencia,91355,CA
Encino,91436,CA
LosAngeles,90045,CA
WestHills,91307,CA
HighlandPark,90042,CA
LongBeach,90815,CA
LosAngeles,90049,CA
LosAngeles,90065,CA
LosAngeles,90066,CA
HermosaBeach,90254,CA
Walnut,91789,CA
StevensonRanch,91381,CA
SantaMonica,90401,CA
NorthHills,91343,CA
SouthPasadena,91030,CA
QuartzHill,93536,CA
Tarzana,91335,CA
Lawndale,90260,CA
Chatsworth,91311,CA
Burbank,91505,CA
LosAngeles,90019,CA
Whittier,90605,CA
LongBeach,90814,CA
Alhambra,91801,CA
Cypress,90630,CA
SierraMadre,91024,CA
LaVerne,91750,CA
SantaMonica,90403,CA
LongBeach,90803,CA
Venice,90291,CA
LosAngeles,90027,CA
Malibu,90265,CA
WoodlandHills,91364,CA
Norwalk,90650,CA
LongBeach,90813,CA
NorthHollywood,91605,CA
LosAngeles,90077,CA
RanchoPalosVerdes,90275,CA
Altadena,91001,CA
Northridge,91326,CA
Lancaster,93536,CA
Glendora,91741,CA
Pasadena,91107,CA
Burbank,91504,CA
LongBeach,90810,CA
LakeBalboa,91406,CA
Lakewood,90712,CA
LaPuente,91744,CA
Valencia,91354,CA
LosAngeles,90017,CA
ValleyGlen,91401,CA
LongBeach,90806,CA
LosAngeles,90043,CA
LosAngeles,90056,CA
ValleyVillage,91607,CA
LosAngeles,90016,CA
Palmdale,93551,CA
Cerritos,90703,CA
LosAngeles,90004,CA
LosAngeles,90057,CA
Whittier,90601,CA
SunValley,91352,CA
Covina,91722,CA
LosAngeles,90005,CA
GranadaHills,91344,CA
LaCanadaFlintridge,91011,CA
MontereyPark,91754,CA
Calabasas,91302,CA
ElMonte,91732,CA
CulverCity,90230,CA
LosAngeles,90024,CA
PalosVerdesEstates,90274,CA
SouthGate,90280,CA
Lancaster,CA,CA
AgouraHills,91301,CA
LosAngeles,90064,CA
PlayaDelRey,90293,CA
SantaFeSprings,90670,CA
LosAngeles,90059,CA
LosAngeles,90047,CA
Lancaster,93534,CA
Montebello,90640,CA
Monrovia,91016,CA
WestCovina,91792,CA
Pasadena,91103,CA
LosAngeles,CA,CA
LosAngeles,90025,CA
Glendale,91208,CA
Saugus,91350,CA
WestHollywood,90046,CA
DiamondBar,91765,CA
WoodlandHills,91367,CA
BeverlyHills,90212,CA
NorthHollywood,91601,CA
Bellflower,90706,CA
Covina,91724,CA
LosAngeles,90069,CA
Newhall,91321,CA
Reseda,91335,CA
LosAngeles,90026,CA
Lancaster,93552,CA
Tujunga,91042,CA
Torrance,90501,CA
LosAngeles,90035,CA
MarinaDelRey,90292,CA
Westchester,90045,CA
DiamondBar,91789,CA
Tarzana,91356,CA
LosAngeles,90042,CA
ShermanOaks,91423,CA
Lakewood,90713,CA
Paramount,90723,CA
Duarte,91010,CA
Sunland,91040,CA
SantaClarita,91355,CA
MontereyPark,91755,CA
LaCrescenta,91214,CA
Downey,90242,CA
LaMirada,90638,CA
Gardena,90247,CA
Downey,90241,CA
TempleCity,91780,CA
WestCovina,91791,CA
LosAngeles,90002,CA
BaldwinPark,91706,CA
EagleRock,90041,CA
BeverlyHills,90210,CA
